t,mode,px_des,py_des,pz_des,vx_des,vy_des,vz_des,ax_des,ay_des,az_des,yaw_des,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,thrust_cmd,tau_x,tau_y,tau_z,rpm0,rpm1,rpm2,rpm3,rpm4,rpm5,rpm6,rpm7,alloc_residual,qp_iter
0.060344,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.986809,-0.000000,-0.000000,-0.319679,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4871.561185,0.000000,0.000000,-0.000000,2075.548632,2191.406216,2075.548632,2191.406216,2075.548632,2191.406216,2075.548632,2191.406216,0.008108,75
0.065363,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.985173,-0.000000,-0.000000,-0.325943,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4882.515038,0.000000,0.000000,-0.000000,2077.803308,2193.779309,2077.803308,2193.779309,2077.803308,2193.779309,2077.803308,2193.779309,0.008365,75
0.070239,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.983561,-0.000000,-0.000000,-0.330452,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4891.214725,0.000000,0.000000,-0.000000,2079.592498,2195.660892,2079.592498,2195.660892,2079.592498,2195.660892,2079.592498,2195.660892,0.008569,75
0.075209,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.981903,-0.000000,-0.000000,-0.333641,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4897.932545,0.000000,0.000000,-0.000000,2080.973165,2197.112073,2080.973165,2197.112073,2080.973165,2197.112073,2080.973165,2197.112073,0.008728,75
0.080204,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.980227,-0.000000,-0.000000,-0.335640,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4903.231231,0.000000,0.000000,-0.000000,2082.061585,2198.255693,2082.061585,2198.255693,2082.061585,2198.255693,2082.061585,2198.255693,0.008853,75
0.085375,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.978486,-0.000000,-0.000000,-0.336615,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4907.223402,0.000000,0.000000,-0.000000,2082.881283,2199.116784,2082.881283,2199.116784,2082.881283,2199.116784,2082.881283,2199.116784,0.008947,75
0.090321,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.976821,-0.000000,-0.000000,-0.336709,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4910.142700,0.000000,0.000000,-0.000000,2083.480502,2199.746183,2083.480502,2199.746183,2083.480502,2199.746183,2083.480502,2199.746183,0.009016,75
0.095405,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.975112,-0.000000,-0.000000,-0.336058,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4912.001203,0.000000,0.000000,-0.000000,2083.861893,2200.146758,2083.861893,2200.146758,2083.861893,2200.146758,2083.861893,2200.146758,0.009060,75
0.100400,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.973440,-0.000000,-0.000000,-0.334813,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4913.075222,0.000000,0.000000,-0.000000,2084.082267,2200.378209,2084.082267,2200.378209,2084.082267,2200.378209,2084.082267,2200.378209,0.009086,75
0.105223,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.971833,-0.000000,-0.000000,-0.333139,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,4913.450636,0.000000,0.000000,-0.000000,2084.159291,2200.459103,2084.159291,2200.459103,2084.159291,2200.459103,2084.159291,2200.459103,0.009095,75
0.110243,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.970171,-0.000000,-0.000000,-0.330963,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4913.277814,0.000000,0.000000,-0.000000,2084.123833,2200.421864,2084.123833,2200.421864,2084.123833,2200.421864,2084.123833,2200.421864,0.009091,75
0.115223,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.968536,-0.000000,-0.000000,-0.328450,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4912.604835,0.000000,0.000000,-0.000000,2083.985753,2200.276844,2083.985753,2200.276844,2083.985753,2200.276844,2083.985753,2200.276844,0.009075,75
0.120234,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.966904,-0.000000,-0.000000,-0.325620,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4911.528349,0.000000,0.000000,-0.000000,2083.764863,2200.044850,2083.764863,2200.044850,2083.764863,2200.044850,2083.764863,2200.044850,0.009049,75
0.125316,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.965265,-0.000000,-0.000000,-0.322496,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4910.095975,0.000000,0.000000,-0.000000,2083.470912,2199.736111,2083.470912,2199.736111,2083.470912,2199.736111,2083.470912,2199.736111,0.009015,75
0.130306,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.963672,-0.000000,-0.000000,-0.319225,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4908.342401,0.000000,0.000000,-0.000000,2083.110990,2199.358067,2083.110990,2199.358067,2083.110990,2199.358067,2083.110990,2199.358067,0.008974,75
0.135302,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.962094,-0.000000,-0.000000,-0.315785,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4906.377942,0.000000,0.000000,-0.000000,2082.707713,2198.934460,2082.707713,2198.934460,2082.707713,2198.934460,2082.707713,2198.934460,0.008927,75
0.140320,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.960528,-0.000000,-0.000000,-0.312194,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4904.208158,0.000000,0.000000,-0.000000,2082.262202,2198.466454,2082.262202,2198.466454,2082.262202,2198.466454,2082.262202,2198.466454,0.008876,75
0.145309,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.958989,-0.000000,-0.000000,-0.308515,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4901.858688,0.000000,0.000000,-0.000000,2081.779697,2197.959537,2081.779697,2197.959537,2081.779697,2197.959537,2081.779697,2197.959537,0.008820,75
0.150317,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.957463,-0.000000,-0.000000,-0.304736,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4899.383006,0.000000,0.000000,-0.000000,2081.271160,2197.425212,2081.271160,2197.425212,2081.271160,2197.425212,2081.271160,2197.425212,0.008762,75
0.155322,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.955957,-0.000000,-0.000000,-0.300893,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4896.781800,0.000000,0.000000,-0.000000,2080.736719,2196.863593,2080.736719,2196.863593,2080.736719,2196.863593,2080.736719,2196.863593,0.008701,75
0.160263,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.954489,-0.000000,-0.000000,-0.297048,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4894.087330,0.000000,0.000000,-0.000000,2080.182985,2196.281611,2080.182985,2196.281611,2080.182985,2196.281611,2080.182985,2196.281611,0.008637,75
0.165229,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.953033,-0.000000,-0.000000,-0.293147,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4891.351160,0.000000,0.000000,-0.000000,2079.620546,2195.690380,2079.620546,2195.690380,2079.620546,2195.690380,2079.620546,2195.690380,0.008573,75
0.170225,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.951588,-0.000000,-0.000000,-0.289195,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4888.539980,0.000000,0.000000,-0.000000,2079.042549,2195.082677,2079.042549,2195.082677,2079.042549,2195.082677,2079.042549,2195.082677,0.008506,75
0.175352,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.950127,-0.000000,-0.000000,-0.285123,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4885.661135,0.000000,0.000000,-0.000000,2078.450494,2194.460062,2078.450494,2194.460062,2078.450494,2194.460062,2078.450494,2194.460062,0.008439,75
0.180348,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.948722,-0.000000,-0.000000,-0.281146,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4882.665340,0.000000,0.000000,-0.000000,2077.834231,2193.811840,2077.834231,2193.811840,2077.834231,2193.811840,2077.834231,2193.811840,0.008368,75
0.185265,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.947359,-0.000000,-0.000000,-0.277230,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4879.715447,0.000000,0.000000,-0.000000,2077.227256,2193.173228,2077.227256,2193.173228,2077.227256,2193.173228,2077.227256,2193.173228,0.008299,75
0.190317,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.945979,-0.000000,0.000000,-0.273211,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4876.790342,0.000000,0.000000,-0.000000,2076.625232,2192.539660,2076.625232,2192.539660,2076.625232,2192.539660,2076.625232,2192.539660,0.008230,75
0.195321,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.944631,-0.000000,0.000000,-0.269238,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4873.767667,0.000000,0.000000,-0.000000,2076.002969,2191.884612,2076.002969,2191.884612,2076.002969,2191.884612,2076.002969,2191.884612,0.008159,75
0.200372,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.943292,-0.000000,0.000000,-0.265241,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4870.762126,0.000000,0.000000,-0.000000,2075.384077,2191.232921,2075.384077,2191.232921,2075.384077,2191.232921,2075.384077,2191.232921,0.008089,75
0.205327,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.941997,-0.000000,0.000000,-0.261336,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4867.721904,0.000000,0.000000,-0.000000,2074.757883,2190.573341,2074.757883,2190.573341,2074.757883,2190.573341,2074.757883,2190.573341,0.008018,75
0.210370,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.940699,-0.000000,0.000000,-0.257380,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4864.736735,0.000000,0.000000,-0.000000,2074.142874,2189.925336,2074.142874,2189.925336,2074.142874,2189.925336,2074.142874,2189.925336,0.007948,75
0.215217,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.939470,-0.000000,0.000000,-0.253598,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4861.698210,0.000000,0.000000,-0.000000,2073.516713,2189.265368,2073.516713,2189.265368,2073.516713,2189.265368,2073.516713,2189.265368,0.007877,75
0.220223,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.938220,-0.000000,0.000000,-0.249716,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,4858.781253,0.000000,0.000000,-0.000000,2072.915455,2188.631437,2072.915455,2188.631437,2072.915455,2188.631437,2072.915455,2188.631437,0.007809,75
0.225373,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.936954,-0.000000,0.000000,-0.245747,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4855.773770,0.000000,0.000000,-0.000000,2072.295383,2187.977448,2072.295383,2187.977448,2072.295383,2187.977448,2072.295383,2187.977448,0.007739,75
0.230336,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.935753,-0.000000,0.000000,-0.241948,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4852.686840,0.000000,0.000000,-0.000000,2071.658767,2187.305774,2071.658767,2187.305774,2071.658767,2187.305774,2071.658767,2187.305774,0.007667,75
0.235355,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.934558,-0.000000,0.000000,-0.238134,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4849.721017,0.000000,0.000000,-0.000000,2071.046972,2186.660054,2071.046972,2186.660054,2071.046972,2186.660054,2071.046972,2186.660054,0.007598,75
0.240323,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.933394,-0.000000,0.000000,-0.234386,1.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,4846.732064,0.000000,0.000000,-0.000000,2070.430250,2186.008900,2070.430250,2186.008900,2070.430250,2186.008900,2070.430250,2186.008900,0.007528,75
