t,mode,px_des,py_des,pz_des,vx_des,vy_des,vz_des,ax_des,ay_des,az_des,yaw_des,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,thrust_cmd,tau_x,tau_y,tau_z,rpm0,rpm1,rpm2,rpm3,rpm4,rpm5,rpm6,rpm7,alloc_residual,qp_iter
0.000247,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.999999,-0.000000,-0.000000,-0.002424,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4512.600000,0.000000,0.000000,0.000000,2000.188850,2110.881408,2000.188850,2110.881408,2000.188850,2110.881408,2000.188850,2110.881408,0.008248,75
0.005231,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.999746,-0.000000,-0.000000,-0.050858,1.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,4515.300368,-0.000000,-0.000000,-0.000000,2000.768468,2111.500045,2000.768468,2111.500045,2000.768468,2111.500045,2000.768468,2111.500045,0.008228,75
0.010375,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.999249,-0.000000,-0.000000,-0.096650,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4569.507428,-0.000000,0.000000,-0.000000,2012.361458,2123.899871,2012.361458,2123.899871,2012.361458,2123.899871,2012.361458,2123.899871,0.007831,75
0.015383,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.998563,-0.000000,-0.000000,-0.136906,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4621.028458,-0.000000,0.000000,-0.000000,2023.304612,2135.644477,2023.304612,2135.644477,2023.304612,2135.644477,2023.304612,2135.644477,0.007444,75
0.020232,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.997731,-0.000000,-0.000000,-0.171668,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4666.583611,-0.000000,0.000000,-0.000000,2032.919221,2145.979063,2032.919221,2145.979063,2032.919221,2145.979063,2032.919221,2145.979063,0.007095,75
0.025368,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.996685,-0.000000,-0.000000,-0.203677,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4706.173839,-0.000000,0.000000,-0.000000,2041.229162,2154.904566,2041.229162,2154.904566,2041.229162,2154.904566,2041.229162,2154.904566,0.006787,75
0.030360,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.995534,-0.000000,-0.000000,-0.230432,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4742.923679,-0.000000,0.000000,-0.000000,2048.906640,2163.129325,2048.906640,2163.129325,2048.906640,2163.129325,2048.906640,2163.129325,0.006496,75
0.035400,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.994257,-0.000000,-0.000000,-0.253358,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4773.931359,-0.000000,0.000000,-0.000000,2055.358074,2170.017924,2055.358074,2170.017924,2055.358074,2170.017924,2055.358074,2170.017924,0.006247,75
0.040246,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.992939,-0.000000,-0.000000,-0.271975,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4800.808893,-0.000000,0.000000,-0.000000,2060.934509,2175.951659,2060.934509,2175.951659,2060.934509,2175.951659,2060.934509,2175.951659,0.006468,75
0.045222,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.991507,-0.000000,-0.000000,-0.287812,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4822.930422,-0.000000,0.000000,-0.000000,2065.513523,2180.808903,2065.513523,2180.808903,2065.513523,2180.808903,2065.513523,2180.808903,0.006977,75
0.050228,0,-5.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.000000,-0.000000,3.990001,-0.000000,-0.000000,-0.300843,1.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,4842.076996,-0.000000,0.000000,-0.000000,2069.469441,2184.993970,2069.469441,2184.993970,2069.469441,2184.993970,2069.469441,2184.993970,0.007420,75
